sample,scan speed,laser power,linear energy density,mean surface,lb,rb,tb,bb
C3A_1,1309,233,0.1779,222.5,254,256,39,493
C3A_2,1430,53,0.037,193,0,0,0,0
C3A_3,1487,268,0.1802,214,0,0,0,0
C3A_4,1537,363,0.2361,206,340,342,135,397
C3A_5,1594,273,0.1712,286.5,273,605,163,425
C3A_6,1651,253,0.1532,249,357,557,171,385
C3A_7,1733,375,0.2163,336,279,667,275,823
C3A_8,1781,338,0.1897,376,215,739,321,1101
C3A_9,1838,396,0.2154,360.5,187,769,293,1099
C3A_10,1850,70,0.0378,349,0,0,0,0
C3A_11,1933,345,0.1784,478,221,833,367,1269
C3A_12,2006,179,0.0892,465.5,256,791,405,985
C3A_13,2479,153,0.0617,517,317,773,457,1005
C3A_14,2500,50,0.02,511.5,345,731,395,593
C3A_15,1550,360,0.2,533,217,925,497,1399
C3A_16,450,360,0.8,398,581,871,317,727
C3A_17,520,360,0.7,450,555,843,355,779
C3A_18,390,360,0.9,408,565,857,301,815
C3A_19,350,360,1,448,523,847,365,865
C3B_0,1292,328,0.2538,426,557,833,353,599
C3B_1,1309,233,0.1779,419.5,581,855,345,607
C3B_2,1430,53,0.037,354,607,609,223,435
C3B_3,1487,268,0.1802,365.5,507,859,299,929
C3B_4,1537,363,0.2361,433.5,431,939,395,1219
C3B_5,1594,273,0.1712,454.5,421,923,379,1143
C3B_6,1651,253,0.1532,410,369,921,349,1221
C3B_7,1733,375,0.2163,412.5,357,981,379,1279
C3B_8,1781,338,0.1897,464.5,375,899,391,975
C3B_9,1838,396,0.2154,432.5,385,885,361,913
C3B_10,1850,70,0.0378,444.5,437,835,325,567
C3B_11,1933,345,0.1784,323.5,259,915,309,1325
C3B_12,2006,179,0.0892,398,369,643,223,671
C3B_13,2479,153,0.0617,215.5,270,723,394,0
C3B_14,2500,50,0.02,159,380,678,371,770
C3B_15,1550,360,0.2,389.5,387,595,255,420
C3B_16,450,360,0.8,343.5,358,622,230,486
C3B_17,520,360,0.7,219,232,580,406,714
C3B_18,390,360,0.9,296,0,0,0,0
C3B_19,350,360,1,14.5,345,599,251,559
C4A_0,1550,360,0.2,381,370,575,287,479
C4A_1,1800,360,0.2,380.5,211,215,320,879
C4A_2,1350,360,0.3,291.5,286,602,408,719
C4A_3,1200,360,0.3,381.5,221,658,279,859
C4A_4,1200,240,0.2,394,342,536,287,640
C4A_5,1550,240,0.2,309.5,328,547,188,510
C4A_6,1200,120,0.1,92.5,359,718,422,743
C4A_7,900,360,0.4,363.5,354,563,238,432
C4A_8,450,360,0.8,361.5,240,598,256,752
C4A_9,520,360,0.7,355.5,223,572,226,816
C4A_10,390,360,0.9,381.5,231,576,286,650
C4A_11,350,360,1,347.5,238,528,258,639
C4A_12,350,240,0.7,239.5,159,587,251,0
C4A_13,450,240,0.5,338,0,0,0,0
C4A_14,350,120,0.3,357,218,536,235,687
C4A_15,270,360,1.3,380,0,0,0,0
C4A_16,350,240,0.7,297.5,154,482,175,392
C4A_17,450,240,0.5,286.5,226,431,134,348
C4A_18,350,120,0.3,261,226,471,134,583
C4A_19,270,360,1.3,328,223,465,258,474
C4B_0,1550,360,0.2,338,83,396,168,619
C4B_1,1800,360,0.2,390.5,28,474,287,855
C4B_2,1350,360,0.3,322,154,335,131,338
C4B_3,1200,360,0.3,313.5,140,366,146,402
C4B_4,1200,240,0.2,385.5,178,378,250,459
C4B_5,1550,240,0.2,400,156,668,258,535
C4B_6,1200,120,0.1,428,162,374,140,432
C4B_7,900,360,0.4,421,120,444,266,548
C4B_8,450,360,0.8,330,182,412,218,475
C4B_9,520,360,0.7,341.5,93,542,247,0
C4B_10,390,360,0.9,432,0,0,0,0
C4B_11,350,360,1,416.5,105,538,240,859
C4B_12,350,240,0.7,391.5,231,418,266,483
C4B_13,450,240,0.5,393.5,212,428,260,430
C4B_14,350,120,0.3,73.5,268,384,287,419
C4B_15,270,360,1.3,379.5,270,411,276,435
C4B_16,350,240,0.7,47,186,506,359,878
C4B_17,450,240,0.5,79,191,544,320,802
C4B_18,350,120,0.3,31,203,540,374,783
C4B_19,270,360,1.3,409,232,506,307,714
A5A_0,1464,331.25,0.2262,437.5,171,548,335,874
A5A_1,536,256.25,0.478,419,0,0,0,0
A5A_2,1536,93.75,0.061,5,216,564,324,868
A5A_3,2250,181.25,0.0805,418,0,0,0,0
A5A_4,1607,268.75,0.1672,206,264,531,290,616
A5A_5,2107,131.25,0.0622,85.5,328,520,264,456
A5A_6,1893,118.75,0.0627,391.5,306,554,300,636
A5A_7,679,156.25,0.2301,17.5,296,562,328,702
A5A_8,2179,281.25,0.129,414.5,44,421,260,0
A5A_9,607,306.25,0.5045,325.5,162,312,238,382
A5A_10,1321,68.75,0.052,292,170,418,222,455
A5A_11,821,256.25,0.3121,199,143,412,287,604
A5A_12,750,106.25,0.1416,331.5,179,375,204,404
A5A_13,1964,218.75,0.1113,371.5,171,388,234,434
A5A_14,2464,168.75,0.0684,341.5,107,500,312,655
A5A_15,1821,143.75,0.0789,336,178,403,251,486
A5A_16,1036,293.75,0.2835,376,0,0,0,0
A5A_17,1179,343.75,0.2915,338,0,0,0,0
A5A_18,893,243.75,0.2729,363.5,100,551,264,874
A5A_19,1750,368.75,0.2107,408.5,243,378,286,436
A5A_20,964,393.75,0.4084,174,216,375,287,640
A5A_21,1679,81.25,0.0483,405,231,399,219,424
A5A_22,1107,318.75,0.2879,321,196,448,191,384
A5A_23,2036,56.25,0.0276,394,170,512,287,694
A5A_24,1393,231.25,0.166,385.5,168,495,240,810
A5A_25,2393,193.75,0.0809,398.5,187,520,291,828
A5A_26,2321,381.25,0.1642,374,212,499,319,744
A5A_27,1250,206.25,0.165,408.5,158,551,304,872
A5B_0,1464,331.25,0.2262,433,0,0,0,0
A5B_1,536,256.25,0.478,8.5,208,563,318,642
A5B_2,1536,93.75,0.061,168.5,276,556,276,616
A5B_3,2250,181.25,0.0805,393.5,234,523,247,560
A5B_4,1607,268.75,0.1672,390.5,270,480,287,511
A5B_5,2107,131.25,0.0622,361,242,506,190,458
A5B_6,1893,118.75,0.0627,399.5,178,185,307,632
A5B_7,679,156.25,0.2301,412,0,0,0,0
A5B_8,2179,281.25,0.129,334,139,446,243,612
A5B_9,607,306.25,0.5045,368.5,83,512,296,764
A5B_10,1321,68.75,0.052,241.5,131,668,306,743
A5B_11,821,256.25,0.3121,397,203,415,192,578
A5B_12,750,106.25,0.1416,402.5,148,458,294,702
A5B_13,1964,218.75,0.1113,415,214,440,187,428
A5B_14,2464,168.75,0.0684,418,0,0,0,0
A5B_15,1821,143.75,0.0789,424.5,166,440,295,574
A5B_16,1036,293.75,0.2835,407.5,210,444,332,616
A5B_17,1179,343.75,0.2915,427.5,91,543,332,876
A5B_18,893,243.75,0.2729,111,0,0,0,0
A5B_19,1750,368.75,0.2107,269.5,116,567,310,783
A5B_20,964,393.75,0.4084,61,0,0,0,0
A5B_21,1679,81.25,0.0483,380.5,220,468,256,551
A5B_22,1107,318.75,0.2879,238,280,435,300,474
A5B_23,2036,56.25,0.0276,225,266,452,324,554
A5B_24,1393,231.25,0.166,26.5,218,652,364,594
A5B_25,2393,193.75,0.0809,54,135,540,400,796
A5B_26,2321,381.25,0.1642,70.5,210,574,419,824
A5B_27,1250,206.25,0.165,109.5,268,558,408,776
A5C_0,1464,331.25,0.2262,13.5,182,594,402,880
A5C_1,536,256.25,0.478,0,0,0,0,0
A5C_2,1536,93.75,0.061,26.5,231,568,403,874
A5C_3,2250,181.25,0.0805,9,0,0,0,0
A5C_4,1607,268.75,0.1672,3.5,280,568,359,656
A5C_5,2107,131.25,0.0622,10,352,530,422,588
A5C_6,1893,118.75,0.0627,17,306,540,466,827
A5C_7,679,156.25,0.2301,6,331,568,488,839
A5C_8,2179,281.25,0.129,0,0,0,0,0
A5C_9,607,306.25,0.5045,0,0,0,0,0
A5C_10,1321,68.75,0.052,0,0,0,0,0
A5C_11,821,256.25,0.3121,0,0,0,0,0
A5C_12,750,106.25,0.1416,0,0,0,0,0
A5C_13,1964,218.75,0.1113,0,0,0,0,0
A5C_14,2464,168.75,0.0684,0,0,0,0,0
A5C_15,1821,143.75,0.0789,0,0,0,0,0
A5C_16,1036,293.75,0.2835,0,0,0,0,0
A5C_17,1179,343.75,0.2915,0,0,0,0,0
A5C_18,893,243.75,0.2729,0,0,0,0,0
A5C_19,1750,368.75,0.2107,0,0,0,0,0
A5C_20,964,393.75,0.4084,0,0,0,0,0
A5C_21,1679,81.25,0.0483,0,0,0,0,0
A5C_22,1107,318.75,0.2879,0,0,0,0,0
A5C_23,2036,56.25,0.0276,0,0,0,0,0
A5C_24,1393,231.25,0.166,0,0,0,0,0
A5C_25,2393,193.75,0.0809,0,0,0,0,0
A5C_26,2321,381.25,0.1642,0,0,0,0,0
A5C_27,1250,206.25,0.165,0,0,0,0,0
A5D_0,1464,331.25,0.2262,0,0,0,0,0
A5D_1,536,256.25,0.478,0,0,0,0,0
A5D_2,1536,93.75,0.061,0,0,0,0,0
A5D_3,2250,181.25,0.0805,0,0,0,0,0
A5D_4,1607,268.75,0.1672,0,0,0,0,0
A5D_5,2107,131.25,0.0622,0,0,0,0,0
A5D_6,1893,118.75,0.0627,0,0,0,0,0
A5D_7,679,156.25,0.2301,0,0,0,0,0
A5D_8,2179,281.25,0.129,0,0,0,0,0
